Position,Game Name,Console,Publisher,Developer,VGChartz Score,Critic Score,User Score,Total Shipped,Total Sales,NA Sales,PAL Sales,Japan Sales,Other Sales,Release Date,Last Update
826,Alan Wake    ,Series,Microsoft Game Studios  ,Remedy Entertainment  ,N/A  ,N/A  ,N/A  ,4.50m,N/A,N/A,N/A,N/A,N/A,18th May 10  ,19th Mar 20
827,ARK: Survival Evolved    ,PC,Studio Wildcard  ,Studio Wildcard  ,N/A  ,N/A  ,N/A  ,4.50m,N/A,N/A,N/A,N/A,N/A,02nd Jun 15  ,22nd Sep 18
828,Call of Duty    ,All,Activision  ,Infinity Ward  ,N/A  ,N/A  ,N/A  ,4.50m,N/A,N/A,N/A,N/A,N/A,29th Oct 03  ,26th Sep 22
829,Dragon Ball Z: Kakarot    ,All,Bandai Namco Entertainment  ,CyberConnect2  ,N/A  ,N/A  ,N/A  ,4.50m,N/A,N/A,N/A,N/A,N/A,17th Jan 20  ,09th Oct 20
830,FIFA 08    ,All,EA Sports  ,EA Canada  ,N/A  ,N/A  ,N/A  ,4.50m,N/A,N/A,N/A,N/A,N/A,08th Oct 07  ,17th Apr 21
831,FIFA Football 2005    ,All,EA Sports  ,EA Canada  ,N/A  ,N/A  ,N/A  ,4.50m,N/A,N/A,N/A,N/A,N/A,12th Oct 04  ,15th Oct 20
832,Grand Theft Auto: Vice City Stories    ,All,Rockstar Games  ,Rockstar Leeds/North  ,N/A  ,N/A  ,N/A  ,4.50m,N/A,N/A,N/A,N/A,N/A,31st Oct 06  ,13th Oct 20
833,LittleBigPlanet    ,PS3,Sony Computer Entertainment  ,Media Molecule  ,9.2  ,9.4  ,9.2  ,4.50m,N/A,N/A,N/A,N/A,N/A,28th Oct 08  ,N/A
834,Madden NFL 08    ,All,EA Sports  ,EA Tiburon  ,N/A  ,N/A  ,N/A  ,4.50m,N/A,N/A,N/A,N/A,N/A,14th Aug 07  ,19th Oct 22
835,Madden NFL 09    ,All,EA Sports  ,EA Tiburon  ,N/A  ,N/A  ,N/A  ,4.50m,N/A,N/A,N/A,N/A,N/A,12th Aug 08  ,22nd Oct 20
836,Might and Magic    ,Series,New World Computing  ,New World Computing  ,N/A  ,N/A  ,N/A  ,4.50m,N/A,N/A,N/A,N/A,N/A,31st Jul 90  ,14th Mar 21
837,Monster Hunter 3    ,All,Capcom  ,Capcom  ,N/A  ,N/A  ,N/A  ,4.50m,N/A,N/A,N/A,N/A,N/A,20th Apr 10  ,13th Oct 20
838,NBA 2K13    ,All,2K Sports  ,Visual Concepts  ,N/A  ,N/A  ,N/A  ,4.50m,N/A,N/A,N/A,N/A,N/A,02nd Oct 12  ,22nd Oct 20
839,Riven: The Sequel to Myst    ,PC,Red Orb  ,Cyan Worlds  ,N/A  ,N/A  ,N/A  ,4.50m,N/A,N/A,N/A,N/A,N/A,29th Oct 97  ,N/A
840,This War of Mine    ,Series,11 bit studios  ,11 bit studios  ,N/A  ,N/A  ,N/A  ,4.50m,N/A,N/A,N/A,N/A,N/A,14th Nov 14  ,14th Mar 20
841,This War of Mine    ,All,11 bit studios  ,11 bit studios  ,N/A  ,N/A  ,N/A  ,4.50m,N/A,N/A,N/A,N/A,N/A,14th Nov 14  ,10th Jan 21
842,Warcraft III: Reign of Chaos    ,PC,Blizzard Entertainment  ,Blizzard Entertainment  ,N/A  ,9.3  ,N/A  ,4.50m,N/A,N/A,N/A,N/A,N/A,03rd Jul 02  ,23rd Nov 18
843,You Don't Know Jack    ,Series,Berkeley Systems  ,Berkeley Systems  ,N/A  ,N/A  ,N/A  ,4.50m,N/A,N/A,N/A,N/A,N/A,01st Jan 95  ,10th Apr 21
844,Professor Layton and the Curious Village    ,DS,Nintendo  ,Level 5  ,N/A  ,8.7  ,N/A  ,4.49m,N/A,N/A,N/A,N/A,N/A,10th Feb 08  ,N/A
845,Spider-Man: The Movie    ,PS2,Activision  ,Treyarch  ,N/A  ,8.2  ,N/A  ,N/A,4.48m,2.71m,1.51m,0.03m,0.23m,15th Apr 02  ,N/A
846,The Elder Scrolls IV: Oblivion    ,X360,Take-Two Interactive  ,Bethesda Softworks  ,8.8  ,9.2  ,N/A  ,N/A,4.47m,2.89m,1.03m,0.13m,0.41m,07th Jul 09  ,N/A
847,Resident Evil (2002)    ,All,Capcom  ,Capcom  ,N/A  ,N/A  ,N/A  ,4.45m,N/A,N/A,N/A,N/A,N/A,13th Sep 02  ,11th Oct 20
848,The Legend of Zelda: The Wind Waker    ,GC,Nintendo  ,Nintendo EAD  ,N/A  ,9.6  ,N/A  ,4.43m,N/A,N/A,N/A,N/A,N/A,26th Mar 03  ,N/A
849,Tony Hawk's Pro Skater 3    ,PS2,Activision  ,Neversoft Entertainment  ,N/A  ,9.1  ,N/A  ,N/A,4.41m,2.66m,1.29m,0.01m,0.46m,28th Oct 01  ,N/A
850,Dino Crisis    ,Series,Capcom  ,Capcom  ,N/A  ,N/A  ,N/A  ,4.40m,N/A,N/A,N/A,N/A,N/A,31st Aug 99  ,04th Feb 20
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
851,Ghosts 'n Goblins    ,Series,Capcom  ,Capcom  ,N/A  ,N/A  ,N/A  ,4.40m,N/A,N/A,N/A,N/A,N/A,19th Sep 85  ,03rd Feb 20
852,Monster Hunter Rise: Sunbreak    ,All,Capcom  ,Capcom  ,N/A  ,N/A  ,N/A  ,4.40m,N/A,N/A,N/A,N/A,N/A,30th Jun 22  ,05th Jul 22
853,Winning Eleven: Pro Evolution Soccer 2007    ,PS2,Konami  ,Konami Computer Entertainment Tokyo  ,N/A  ,8.8  ,N/A  ,N/A,4.39m,0.10m,2.39m,1.05m,0.86m,06th Feb 07  ,N/A
854,Zelda II: The Adventure of Link    ,NES,Nintendo  ,Nintendo EAD  ,N/A  ,N/A  ,N/A  ,4.38m,N/A,N/A,N/A,N/A,N/A,01st Sep 88  ,28th Jan 18
855,Michael Jackson: The Experience    ,Wii,Ubisoft  ,Ubisoft Montpellier  ,N/A  ,5.6  ,N/A  ,N/A,4.37m,2.64m,1.33m,0.01m,0.39m,23rd Nov 10  ,N/A
856,Tom Clancy's The Division    ,PS4,Ubisoft  ,Massive Entertainment  ,N/A  ,N/A  ,N/A  ,N/A,4.37m,1.49m,2.04m,0.16m,0.69m,08th Mar 16  ,04th May 18
857,Need for Speed: Most Wanted    ,PS2,Electronic Arts  ,EA Canada  ,N/A  ,8.6  ,N/A  ,N/A,4.37m,2.03m,1.79m,0.08m,0.47m,15th Nov 05  ,N/A
858,Tom Clancy's Rainbow Six: Siege    ,PS4,Ubisoft  ,Ubisoft Montreal  ,N/A  ,N/A  ,N/A  ,N/A,4.36m,1.29m,2.06m,0.36m,0.64m,01st Dec 15  ,N/A
859,Call of Duty: Advanced Warfare    ,X360,Activision  ,High Moon Studios  ,N/A  ,9.1  ,N/A  ,N/A,4.34m,2.81m,1.13m,0.00m,0.41m,04th Nov 14  ,04th Jan 18
860,Watch Dogs    ,PS4,Ubisoft  ,Ubisoft Montreal  ,8.7  ,N/A  ,N/A  ,N/A,4.32m,1.40m,2.13m,0.11m,0.68m,27th May 14  ,15th Mar 18
861,Animal Crossing: City Folk    ,Wii,Nintendo  ,Nintendo EAD  ,6.8  ,7.1  ,8.8  ,4.32m,N/A,N/A,N/A,N/A,N/A,16th Nov 08  ,N/A
862,Starbound    ,PC,"Infocom, Inc.  ",Unknown  ,N/A  ,N/A  ,N/A  ,4.31m,N/A,N/A,N/A,N/A,N/A,01st Jan 14  ,N/A
863,Asteroids    ,2600,Atari  ,Atari  ,N/A  ,N/A  ,N/A  ,N/A,4.31m,4.00m,0.26m,N/A,0.05m,01st Jan 81  ,N/A
864,Batman: Arkham Asylum    ,All,Warner Bros. Interactive Entertainment  ,Rocksteady Studios  ,N/A  ,N/A  ,N/A  ,4.30m,N/A,N/A,N/A,N/A,N/A,25th Aug 09  ,09th Nov 20
865,Dragon Quest VII    ,PS,Enix  ,Heart Beat  ,N/A  ,8.0  ,3.0  ,4.30m,N/A,N/A,N/A,N/A,N/A,01st Nov 01  ,27th Mar 18
866,Monster Hunter Generations    ,3DS,Capcom  ,Capcom  ,N/A  ,8.8  ,N/A  ,4.30m,N/A,N/A,N/A,N/A,N/A,15th Jul 16  ,30th Jan 18
867,Batman: Arkham Asylum    ,PS3,Eidos Interactive  ,Rocksteady Studios  ,9.1  ,9.0  ,N/A  ,N/A,4.28m,2.26m,1.33m,0.07m,0.63m,25th Aug 09  ,N/A
868,Mario Tennis Aces    ,NS,Nintendo  ,Camelot Software Planning  ,7.0  ,7.8  ,N/A  ,4.28m,N/A,N/A,N/A,N/A,N/A,22nd Jun 18  ,14th Jun 18
869,Call of Duty: Advanced Warfare    ,PS3,Activision  ,High Moon Studios  ,N/A  ,9.1  ,N/A  ,N/A,4.27m,1.59m,1.81m,0.20m,0.67m,04th Nov 14  ,04th Jan 18
870,God of War II    ,PS2,Sony Computer Entertainment  ,SCEA Santa Monica Studio  ,N/A  ,9.3  ,9.8  ,4.24m,N/A,N/A,N/A,N/A,N/A,13th Mar 07  ,N/A
871,The Legend of Zelda: A Link Between Worlds    ,3DS,Nintendo  ,Nintendo EAD  ,9.0  ,9.3  ,N/A  ,4.24m,N/A,N/A,N/A,N/A,N/A,22nd Nov 13  ,05th Jan 18
872,Namco Museum    ,GBA,Namco  ,Mass Media  ,N/A  ,N/A  ,N/A  ,N/A,4.24m,3.00m,1.11m,0.05m,0.07m,10th Jun 01  ,N/A
873,Super Paper Mario    ,Wii,Nintendo  ,Intelligent Systems  ,N/A  ,8.5  ,N/A  ,4.23m,N/A,N/A,N/A,N/A,N/A,09th Apr 07  ,N/A
874,Assassin's Creed: Revelations    ,PS3,Ubisoft  ,Ubisoft Montreal  ,7.1  ,8.8  ,N/A  ,N/A,4.23m,1.41m,2.03m,0.10m,0.69m,15th Nov 11  ,N/A
875,Assassin's Creed: Revelations    ,X360,Ubisoft  ,Ubisoft Montreal  ,N/A  ,7.9  ,N/A  ,N/A,4.22m,2.28m,1.47m,0.04m,0.44m,15th Nov 11  ,N/A
876,Clubhouse Games: 51 Worldwide Classics    ,NS,Nintendo  ,Nintendo  ,8.0  ,N/A  ,N/A  ,4.22m,N/A,N/A,N/A,N/A,N/A,05th Jun 20  ,07th Apr 20
877,FIFA Soccer 06    ,PS2,EA Sports  ,EA Canada  ,N/A  ,8.4  ,N/A  ,N/A,4.21m,0.78m,2.55m,0.04m,0.84m,04th Oct 05  ,N/A
878,Counter-Strike    ,PC,Sierra Studios  ,Unknown  ,N/A  ,N/A  ,N/A  ,4.20m,N/A,N/A,N/A,N/A,N/A,08th Nov 00  ,N/A
879,Monster Hunter 4 Ultimate    ,3DS,Capcom  ,Capcom  ,N/A  ,8.8  ,N/A  ,4.20m,N/A,N/A,N/A,N/A,N/A,13th Feb 15  ,28th Mar 18
880,Perfect Dark    ,Series,Rare  ,Rare  ,N/A  ,N/A  ,N/A  ,4.20m,N/A,N/A,N/A,N/A,N/A,22nd May 00  ,26th Feb 21
881,Street Fighter IV    ,PS3,Capcom  ,Capcom / Dimps Corporation  ,9.1  ,9.3  ,9.0  ,N/A,4.19m,2.04m,1.05m,0.59m,0.52m,17th Feb 09  ,N/A
882,7 Days to Die    ,PC,The Fun Pimps   ,The Fun Pimps  ,N/A  ,N/A  ,N/A  ,4.18m,N/A,N/A,N/A,N/A,N/A,13th Dec 13  ,31st May 18
883,FIFA Soccer 12    ,X360,EA Sports  ,EA Canada  ,N/A  ,9.2  ,N/A  ,N/A,4.18m,0.85m,2.79m,0.02m,0.52m,27th Sep 11  ,N/A
884,Call of Duty: Ghosts    ,PS4,Activision  ,Infinity Ward  ,6.2  ,7.5  ,N/A  ,N/A,4.17m,1.79m,1.64m,0.05m,0.69m,15th Nov 13  ,21st Mar 18
885,Teenage Mutant Ninja Turtles    ,NES,Ultra Games  ,Konami  ,N/A  ,5.9  ,N/A  ,N/A,4.17m,3.38m,0.44m,0.31m,0.04m,01st Jun 89  ,N/A
886,Just Cause 2    ,PC,Eidos Interactive  ,Avalanche Studios  ,7.8  ,8.2  ,N/A  ,4.16m,N/A,N/A,N/A,N/A,N/A,23rd Mar 10  ,N/A
887,Excitebike    ,NES,Nintendo  ,Nintendo R&D1  ,N/A  ,N/A  ,N/A  ,4.16m,N/A,N/A,N/A,N/A,N/A,18th Oct 85  ,N/A
888,Tennis    ,All,Nintendo  ,Nintendo  ,N/A  ,N/A  ,N/A  ,4.16m,N/A,N/A,N/A,N/A,N/A,18th Oct 85  ,05th Dec 20
889,Frogger    ,PS,Hasbro Interactive  ,Millenium Interactive  ,N/A  ,N/A  ,N/A  ,N/A,4.16m,3.79m,0.27m,N/A,0.11m,30th Sep 97  ,N/A
890,Star Wars Battlefront (2015)    ,XOne,Electronic Arts  ,EA DICE  ,N/A  ,6.9  ,N/A  ,N/A,4.15m,2.49m,1.26m,0.02m,0.38m,17th Nov 15  ,24th Mar 18
891,FIFA 14    ,X360,EA Sports  ,EA Canada  ,N/A  ,N/A  ,N/A  ,N/A,4.15m,0.94m,2.92m,0.01m,0.29m,24th Sep 13  ,15th Sep 18
892,Madden NFL 2003    ,PS2,EA Sports  ,EA Tiburon  ,N/A  ,9.4  ,N/A  ,N/A,4.14m,3.36m,0.21m,0.01m,0.56m,12th Aug 02  ,N/A
893,Assassin's Creed: Unity    ,PS4,Ubisoft  ,Ubisoft Montreal  ,N/A  ,N/A  ,N/A  ,N/A,4.14m,1.25m,2.16m,0.09m,0.65m,11th Nov 14  ,04th May 18
894,Destiny 2    ,PS4,Activision  ,Bungie  ,N/A  ,N/A  ,N/A  ,N/A,4.14m,1.92m,1.44m,0.10m,0.69m,06th Sep 17  ,20th Apr 18
895,Donkey Kong Country: Tropical Freeze    ,NS,Nintendo  ,Retro Studios  ,7.0  ,9.1  ,9.1  ,4.12m,N/A,N/A,N/A,N/A,N/A,04th May 18  ,02nd Aug 20
896,Shadow of the Tomb Raider    ,All,Square Enix  ,Eidos Montreal  ,N/A  ,N/A  ,N/A  ,4.12m,N/A,N/A,N/A,N/A,N/A,14th Sep 18  ,26th Oct 20
897,Super Mario World 2: Yoshi's Island    ,SNES,Nintendo  ,Nintendo EAD  ,N/A  ,9.0  ,N/A  ,4.12m,N/A,N/A,N/A,N/A,N/A,04th Oct 95  ,N/A
898,Batman: Arkham Knight    ,PS4,Warner Bros. Interactive  ,Rocksteady Studios  ,N/A  ,8.1  ,N/A  ,N/A,4.11m,1.65m,1.68m,0.11m,0.66m,23rd Jun 15  ,04th Jan 18
899,FIFA 07 Soccer    ,PS2,EA Sports  ,Team Fusion  ,N/A  ,8.4  ,N/A  ,N/A,4.11m,0.71m,2.48m,0.03m,0.89m,03rd Oct 06  ,N/A
900,The Sims 4    ,PC,Electronic Arts  ,Maxis  ,5.8  ,7.0  ,N/A  ,N/A,4.10m,1.20m,2.60m,N/A,0.30m,02nd Sep 14  ,29th Dec 17
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
951,Star Wars: Battlefront    ,All,LucasArts  ,Pandemic Studios  ,N/A  ,N/A  ,N/A  ,4.00m,N/A,N/A,N/A,N/A,N/A,21st Sep 04  ,31st Oct 20
952,Super Mario Run    ,iOS,Nintendo  ,Nintendo  ,N/A  ,N/A  ,N/A  ,4.00m,N/A,N/A,N/A,N/A,N/A,15th Dec 16  ,N/A
953,The Elder Scrolls III: Morrowind    ,All,Bethesda Softworks  ,Bethesda Game Studios  ,N/A  ,N/A  ,N/A  ,4.00m,N/A,N/A,N/A,N/A,N/A,01st May 02  ,27th Oct 20
954,The Lord of the Rings: The Two Towers    ,All,Electronic Arts  ,Stormfront Studios  ,N/A  ,N/A  ,N/A  ,4.00m,N/A,N/A,N/A,N/A,N/A,21st Oct 02  ,03rd Dec 20
955,The Outer Worlds    ,Series,Private Division  ,Obsidian Entertainment  ,N/A  ,N/A  ,N/A  ,4.00m,N/A,N/A,N/A,N/A,N/A,25th Oct 19  ,06th Feb 20
956,The Outer Worlds    ,All,Private Division  ,Obsidian Entertainment  ,N/A  ,N/A  ,N/A  ,4.00m,N/A,N/A,N/A,N/A,N/A,25th Oct 19  ,10th Oct 20
957,The Simpsons Game    ,All,Electronic Arts  ,EA Redwood Shores  ,N/A  ,N/A  ,N/A  ,4.00m,N/A,N/A,N/A,N/A,N/A,30th Oct 07  ,17th Apr 21
958,Turok    ,Series,Acclaim Entertainment  ,Iguana Entertainment  ,N/A  ,N/A  ,N/A  ,4.00m,N/A,N/A,N/A,N/A,N/A,04th Mar 97  ,15th Apr 21
959,"Warhammer 40,000: Dawn of War    ",PC,THQ  ,Relic  ,N/A  ,8.8  ,N/A  ,4.00m,N/A,N/A,N/A,N/A,N/A,20th Sep 04  ,N/A
960,Who Wants to be a Millionaire    ,PC,Disney Interactive Studios  ,Jellyvision  ,N/A  ,N/A  ,N/A  ,4.00m,N/A,N/A,N/A,N/A,N/A,23rd Nov 99  ,N/A
961,World of Warcraft: Wrath of the Lich King    ,PC,Blizzard Entertainment  ,Blizzard Entertainment  ,N/A  ,9.3  ,9.3  ,4.00m,N/A,N/A,N/A,N/A,N/A,13th Nov 08  ,22nd Apr 18
962,WWE SmackDown vs. Raw 2009    ,All,THQ  ,THQ  ,N/A  ,N/A  ,N/A  ,4.00m,N/A,N/A,N/A,N/A,N/A,09th Nov 08  ,24th Oct 20
963,Zombie Army    ,Series,Rebellion Developments  ,Rebellion Developments  ,N/A  ,N/A  ,N/A  ,4.00m,N/A,N/A,N/A,N/A,N/A,28th Feb 13  ,28th Dec 20
964,Zoo Tycoon    ,PC,Microsoft  ,Blue Fang Games  ,N/A  ,7.1  ,N/A  ,4.00m,N/A,N/A,N/A,N/A,N/A,18th Oct 01  ,N/A
965,Fallout 3    ,PS3,Bethesda Softworks  ,Bethesda Game Studios  ,8.2  ,8.8  ,N/A  ,N/A,4.00m,2.18m,1.15m,0.07m,0.61m,28th Oct 08  ,N/A
966,The Legend of Zelda: Oracle of Ages / Seasons    ,GBC,Nintendo  ,Capcom  ,N/A  ,N/A  ,N/A  ,3.99m,N/A,N/A,N/A,N/A,N/A,13th May 01  ,11th Jan 19
967,The Elder Scrolls V: Skyrim    ,PC,Bethesda Softworks  ,Bethesda Game Studios  ,9.7  ,9.2  ,N/A  ,N/A,3.99m,1.18m,2.25m,N/A,0.56m,11th Nov 11  ,01st Apr 18
968,Namco Museum: 50th Anniversary    ,PS2,Namco  ,Digital Eclipse  ,N/A  ,N/A  ,N/A  ,N/A,3.98m,2.08m,1.35m,N/A,0.54m,30th Aug 05  ,N/A
969,Kirby Star Allies    ,NS,Nintendo  ,HAL Laboratory  ,7.0  ,8.1  ,10.0  ,3.98m,N/A,N/A,N/A,N/A,N/A,16th Mar 18  ,14th Mar 18
970,NBA 2K16    ,PS4,2K Sports  ,Visual Concepts  ,N/A  ,8.7  ,N/A  ,N/A,3.98m,2.56m,0.66m,0.05m,0.71m,29th Sep 15  ,28th Mar 18
971,Divinity    ,Series,CDV Software Entertainment  ,Larian Studios  ,N/A  ,N/A  ,N/A  ,3.98m,N/A,N/A,N/A,N/A,N/A,22nd Sep 02  ,15th Mar 20
972,Far Cry 5    ,PS4,Ubisoft  ,Ubisoft  ,N/A  ,7.9  ,N/A  ,N/A,3.95m,1.44m,1.73m,0.15m,0.62m,27th Mar 18  ,28th Feb 18
973,Battlefield 4    ,PS4,Electronic Arts  ,EA DICE  ,N/A  ,8.3  ,N/A  ,N/A,3.94m,1.40m,1.74m,0.19m,0.62m,15th Nov 13  ,09th Jan 18
974,Assassin's Creed IV: Black Flag    ,PS3,Ubisoft  ,Ubisoft Montreal  ,9.1  ,8.7  ,N/A  ,N/A,3.94m,1.34m,1.86m,0.13m,0.62m,29th Oct 13  ,14th Mar 18
975,Naruto Shippuden: Ultimate Ninja Storm 4    ,PS4,Namco Bandai Games  ,CyberConnect2  ,N/A  ,N/A  ,N/A  ,3.94m,N/A,N/A,N/A,N/A,N/A,09th Feb 16  ,22nd Sep 18
976,Dark Souls II    ,All,Bandai Namco Games  ,From Software  ,N/A  ,N/A  ,N/A  ,3.92m,N/A,N/A,N/A,N/A,N/A,11th Mar 14  ,23rd Nov 20
977,Half-Life 2: Episode One    ,PC,Electronic Arts  ,Valve Software  ,N/A  ,8.7  ,N/A  ,3.92m,N/A,N/A,N/A,N/A,N/A,01st Jun 06  ,N/A
978,Donkey Kong Land    ,GB,Nintendo  ,Rare Ltd.  ,N/A  ,N/A  ,N/A  ,3.91m,N/A,N/A,N/A,N/A,N/A,26th Jul 95  ,N/A
979,English Training: Have Fun Improving Your Skills!    ,DS,Nintendo  ,Plato  ,N/A  ,N/A  ,N/A  ,3.91m,N/A,N/A,N/A,N/A,N/A,27th Oct 06  ,N/A
980,The Legend of Zelda: Skyward Sword HD    ,NS,Nintendo  ,Nintendo  ,N/A  ,N/A  ,N/A  ,3.91m,N/A,N/A,N/A,N/A,N/A,16th Jul 21  ,18th Feb 21
981,Dragon Quest III    ,NES,Enix  ,ChunSoft  ,N/A  ,N/A  ,8.0  ,3.90m,N/A,N/A,N/A,N/A,N/A,01st Mar 92  ,27th Mar 18
982,Tony Hawk's Underground    ,PS2,Activision  ,Neversoft Entertainment  ,N/A  ,8.7  ,N/A  ,N/A,3.90m,2.29m,1.17m,0.01m,0.42m,27th Oct 03  ,N/A
983,Just Dance 2014    ,Wii,Ubisoft  ,Ubisoft Paris  ,N/A  ,7.4  ,N/A  ,N/A,3.89m,1.91m,1.66m,N/A,0.33m,08th Oct 13  ,08th Mar 18
984,Professor Layton and the Diabolical Box    ,DS,Nintendo  ,Level 5  ,9.0  ,8.5  ,N/A  ,3.88m,N/A,N/A,N/A,N/A,N/A,24th Aug 09  ,N/A
985,Sports Champions    ,PS3,Sony Computer Entertainment  ,SCE San Diego Studio  ,8.6  ,7.6  ,N/A  ,N/A,3.88m,2.15m,1.13m,0.10m,0.50m,17th Sep 10  ,N/A
986,Final Fantasy III    ,All,Square  ,Square  ,N/A  ,N/A  ,N/A  ,3.86m,N/A,N/A,N/A,N/A,N/A,27th Apr 90  ,19th Oct 20
987,World Soccer Winning Eleven 8 International    ,PS2,Konami  ,Konami Computer Entertainment Tokyo  ,N/A  ,9.3  ,N/A  ,N/A,3.85m,0.16m,1.89m,1.12m,0.68m,01st Feb 05  ,N/A
988,Namco Museum Vol.1    ,PS,Namco  ,Namco  ,N/A  ,N/A  ,N/A  ,N/A,3.84m,2.12m,1.44m,0.22m,0.06m,31st Jul 96  ,N/A
989,Cyberpunk 2077    ,PS4,CD Projekt Red Studio  ,CD Projekt Red Studio  ,8.5  ,N/A  ,N/A  ,3.84m,N/A,N/A,N/A,N/A,N/A,19th Nov 20  ,10th Jun 19
990,The Legend of Zelda: Link's Awakening    ,GB,Nintendo  ,Nintendo EAD  ,N/A  ,N/A  ,N/A  ,3.83m,N/A,N/A,N/A,N/A,N/A,01st Aug 93  ,N/A
991,Resident Evil VII: Biohazard    ,PS4,Capcom  ,Capcom  ,N/A  ,8.6  ,N/A  ,3.83m,N/A,N/A,N/A,N/A,N/A,24th Jan 17  ,06th Nov 18
992,Fire Emblem: Three Houses    ,NS,Nintendo  ,Intelligent Systems  ,8.0  ,N/A  ,10.0  ,3.82m,N/A,N/A,N/A,N/A,N/A,26th Jul 19  ,11th Jun 19
993,Final Fantasy VI    ,All,Square  ,Square  ,N/A  ,N/A  ,N/A  ,3.81m,N/A,N/A,N/A,N/A,N/A,02nd Apr 94  ,19th Oct 20
994,Homefront    ,Series,THQ  ,Kaos Studios  ,N/A  ,N/A  ,N/A  ,3.80m,N/A,N/A,N/A,N/A,N/A,15th Mar 11  ,14th Feb 21
995,Monster Hunter Freedom Unite    ,PSP,Capcom  ,Capcom Production Studio 1  ,N/A  ,7.7  ,9.7  ,3.80m,N/A,N/A,N/A,N/A,N/A,23rd Jun 09  ,N/A
996,Okami    ,Series,Capcom  ,Clover Studio  ,N/A  ,N/A  ,N/A  ,3.80m,N/A,N/A,N/A,N/A,N/A,19th Sep 06  ,04th Feb 20
997,Dragon Ball FighterZ    ,PS4,Namco Bandai Games  ,Arc System Works  ,7.0  ,N/A  ,N/A  ,3.79m,N/A,N/A,N/A,N/A,N/A,26th Jan 18  ,02nd Apr 18
998,Super Mario Maker    ,3DS,Nintendo  ,Nintendo  ,N/A  ,7.3  ,N/A  ,3.79m,N/A,N/A,N/A,N/A,N/A,02nd Dec 16  ,29th Mar 18
999,Gran Turismo Sport    ,PS4,Sony Interactive Entertainment  ,Polyphony Digital  ,N/A  ,N/A  ,N/A  ,N/A,3.77m,0.63m,2.35m,0.24m,0.54m,17th Oct 17  ,13th Jan 18
1000,LEGO Indiana Jones: The Original Adventures    ,X360,LucasArts  ,Traveller's Tales  ,N/A  ,7.5  ,N/A  ,N/A,3.76m,2.40m,1.01m,N/A,0.36m,03rd Jun 08  ,N/A
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
1001,The Sims: Unleashed    ,PC,Electronic Arts  ,Maxis  ,N/A  ,7.3  ,N/A  ,N/A,3.76m,2.03m,1.56m,N/A,0.17m,23rd Sep 02  ,N/A
1002,Tomodachi Collection    ,DS,Nintendo  ,Nintendo SPD Group No.1  ,N/A  ,N/A  ,N/A  ,3.76m,N/A,N/A,N/A,N/A,N/A,18th Jun 09  ,N/A
1003,Ratchet & Clank: Size Matters    ,PSP,Sony Computer Entertainment  ,High Impact Games  ,N/A  ,8.5  ,N/A  ,N/A,3.75m,1.40m,1.40m,0.10m,0.86m,13th Feb 07  ,N/A
1004,Pokémon Trading Card Game    ,GB,Nintendo  ,Hudson Soft  ,N/A  ,8.3  ,N/A  ,3.72m,N/A,N/A,N/A,N/A,N/A,10th Apr 00  ,N/A
1005,Ratchet & Clank    ,PS2,Sony Computer Entertainment  ,Insomniac Games  ,N/A  ,N/A  ,N/A  ,3.71m,N/A,N/A,N/A,N/A,N/A,07th Nov 02  ,N/A
1006,FIFA 17    ,XOne,Electronic Arts  ,EA Canada  ,N/A  ,8.8  ,N/A  ,N/A,3.71m,1.04m,2.40m,N/A,0.27m,27th Sep 16  ,28th Mar 18
1007,Hitman 2: Silent Assassin    ,All,Eidos Interactive  ,IO Interactive  ,N/A  ,N/A  ,N/A  ,3.71m,N/A,N/A,N/A,N/A,N/A,01st Oct 02  ,26th Oct 20
1008,FIFA Soccer 2005    ,PS2,EA Sports  ,EA Canada  ,N/A  ,8.4  ,N/A  ,N/A,3.70m,0.58m,2.48m,0.04m,0.59m,12th Oct 04  ,N/A
1009,Diablo III: Reaper of Souls    ,PC,Blizzard Entertainment  ,Blizzard Entertainment  ,N/A  ,N/A  ,N/A  ,3.70m,N/A,N/A,N/A,N/A,N/A,25th Mar 14  ,10th Jan 19
1010,World of Warcraft: Shadowlands    ,PC,Blizzard Entertainment  ,Blizzard Entertainment  ,N/A  ,N/A  ,N/A  ,3.70m,N/A,N/A,N/A,N/A,N/A,24th Oct 20  ,05th Aug 20
1011,The Legend of Zelda: Skyward Sword    ,Wii,Nintendo  ,Nintendo EAD  ,9.5  ,9.4  ,N/A  ,3.67m,N/A,N/A,N/A,N/A,N/A,20th Nov 11  ,N/A
1012,Tony Hawk's Pro Skater 4    ,PS2,Activision  ,Neversoft Entertainment  ,N/A  ,9.6  ,N/A  ,N/A,3.67m,2.13m,1.18m,0.01m,0.35m,23rd Oct 02  ,N/A
1013,Midnight Club 3: DUB Edition    ,PSP,Rockstar Games  ,Rockstar Leeds  ,N/A  ,7.2  ,N/A  ,N/A,3.66m,1.65m,1.22m,N/A,0.79m,27th Jun 05  ,N/A
